School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
Pembroke Elementary School,Public,34 1/2 Pembroke Road,Danbury,06811,Fairfield,97.3,95.9,98.6,100.0,97.3,97.3,93.2,0.0,0.0,0.0
Saint Gregory the Great,Non-public,85 Great Plain Rd,Danbury,06811,Fairfield,,,,,,,,,,
Saint Joseph School,Non-public,370 Main Street,Danbury,06810,Fairfield,,,,,,,,,,
Shelter Rock Elementary,Public,2 Crows Nest Lane,Danbury,06810,Fairfield,97.4,98.7,98.7,100.0,100.0,96.2,100.0,0.0,0.0,0.0
South Street,Public,129 South Street,Danbury,06810,Fairfield,96.5,96.5,96.5,96.5,96.5,96.5,96.5,1.8,1.8,3.5
St Peters School,Non-public,98 Main Street,Danbury,06810,Fairfield,,,,,,,,,,
Stadley Rough Elementary,Public,25 Karen Rd,Danbury,06811,Fairfield,100.0,98.8,98.8,100.0,98.8,98.8,95.3,0.0,0.0,0.0
St James,Non-public,120 Water St,Danielson,06239,Windham,,,,,,,,,,
Hindley Elementary School,Public,10 Nearwater Lane,Darien,06820,Fairfield,98.4,98.4,100.0,98.4,98.4,98.4,98.4,0.0,0.0,0.0
Holmes Elementary School,Public,18 Hoyt Street,Darien,06820,Fairfield,98.6,98.6,98.6,97.3,98.6,98.6,97.3,0.0,0.0,0.0
Ox Ridge Elementary School,Public,395 Mansfield Avenue,Darien,06820,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Royle Elementary School,Public,133 Mansfield Avenue,Darien,06820,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Tokeneke,Public,7 Old Farm Road,Darien,06820,Fairfield,98.6,98.6,98.6,97.3,98.6,98.6,94.6,0.0,0.0,0.0
Killingly Central School,Public,60 Soap street,Dayville,06241,Windham,98.7,98.0,98.7,98.7,98.7,96.7,95.4,0.0,0.0,0.0
Deep River Elementary School,Public,12 River Street,Deep River,06417,Middlesex,96.9,96.9,93.8,96.9,93.8,96.9,93.8,0.0,0.0,0.0
Bradley Elementary School,Public,155 David Humphrey Rd,Derby,06418,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Irving Elementary School,Public,9 Garden Place,Derby,06418,New Haven,100.0,100.0,100.0,100.0,100.0,98.4,98.4,0.0,0.0,0.0
Saint Mary Saint Michael School,Non-public,14 Seymour Avenue,Derby,06418,New Haven,,,,,,,,,,
Frederick Brewster Elementary School,Public,126 Tuttle Road,Durham,06422,Middlesex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
R. D. HUBBARD,Public,139 Grove St,East Berlin,06023,Hartford,92.5,92.5,95.0,92.5,95.0,92.5,92.5,0.0,5.0,5.0
