School Name,School Type,Address,City,Zipcode,County,Polio,DTaP,MMR,HepB,Varicella,HepA,All,Ex_Rel,Ex_Med,Ex_Tot
Lyme Consolidated,Public,478 Hamburg Rd,Lyme,06371,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Jeffrey School,Public,331 Copse Rd,Madison,06443,New Haven,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0
Ryerson,Public,982 Durham Road,Madison,06413,New Haven,97.6,97.6,97.6,97.6,97.6,97.6,97.6,0.0,2.4,2.4
The Country School,Non-public,341 Opening Hill Road,Madison,06443,New Haven,,,,,,,,,,
Bowers,Public,141 Princeton Street,Manchester,06042,Hartford,85.5,85.5,85.5,98.2,85.5,96.4,80.0,0.0,1.8,1.8
Buckley Elementary,Public,250 Vernon St,Manchester,06042,Hartford,98.2,98.2,96.4,100.0,96.4,100.0,96.4,0.0,0.0,0.0
Cornerstone Christian School,Non-public,236 Main street,Manchester,06042,Hartford,,,,,,,,,,
Highland Park Elementary School,Public,397 Porter Street,Manchester,06040,Hartford,95.8,95.8,95.8,95.8,95.8,95.8,95.8,0.0,4.2,4.2
Keeney Street School,Public,179 Keeney St.,Manchester,06040,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Martin Elementary School,Public,140 Dartmouth Rd,Manchester,06040,Hartford,100.0,96.9,96.9,96.9,93.8,100.0,93.8,0.0,0.0,0.0
Odyssey Community School,Public,579 West Middle Turnpike,Manchester,06040,Hartford,97.2,100.0,100.0,100.0,100.0,100.0,97.2,0.0,0.0,0.0
Saint Bridget School,Non-public,74 Main Street,Manchester,06042,Hartford,,,,,,,,,,
Saint James School,Non-public,73 Park Street,Manchester,06040,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Verplanck Elementary School,Public,126 Olcott Street,Manchester,06040,Hartford,100.0,100.0,100.0,99.0,99.0,98.1,98.1,0.0,0.0,0.0
Waddell Elementary School,Public,163 Broad Street,Manchester,06042,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Oak Grove Montessori School,Non-public,132 Pleasant Valley Rd,Mansfield,06250,Tolland,,,,,,,,,,
Mansfield Elementary School,Public,134 Warrenville Rd,Mansfield Center,06250,Tolland,83.7,83.7,88.4,91.9,86.0,93.0,80.2,0.0,0.0,0.0
Elmer Thienes Mary Hall School,Public,25 School Drive,Marlborough,06447,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Benjamin Franklin Elementary School,Public,426 West Main Street,Meriden,06450,New Haven,98.4,100.0,100.0,100.0,100.0,98.4,98.4,0.0,0.0,0.0
Casmir Pulaski Elementary School,Public,100 Clearview Ave,Meriden,06451,New Haven,100.0,98.9,100.0,100.0,100.0,100.0,98.9,0.0,0.0,0.0
Hanover Elementary School,Public,208 Main Street,Meriden,06451,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Israel Putnam Elementary,Public,133 Parker Avenue,Meriden,06450,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
John Barry Elementary School,Public,124 Columbia Street,Meriden,06451,New Haven,97.2,97.2,98.6,98.6,98.6,97.2,97.2,0.0,0.0,0.0
Meliora Academy,Non-public,470 Murdock Avenue,Meriden,06450,New Haven,,,,,,,,,,
MIDSTATE CHRISTIAN ACADEMY,Non-public,139 CHARLES STREET,Meriden,06451,New Haven,,,,,,,,,,
Nathan Hale Elementary School,Public,277 Atkins St Ext,Meriden,06450,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Roger Sherman,Public,64 North Pearl Street,Meriden,06450,New Haven,98.5,98.5,100.0,100.0,100.0,97.1,97.1,0.0,0.0,0.0
Thomas Hooker Elementary School,Public,70 Overlook Road,Meriden,06450,New Haven,91.0,95.5,100.0,97.8,98.9,87.6,88.8,0.0,0.0,0.0
Long Meadow Elementary School,Public,65 North Benson Road,Middlebury,06762,New Haven,97.4,97.4,97.4,97.4,97.4,97.4,97.4,1.3,1.3,2.6
Middlebury Elementary School,Public,550 Whittemore rd,Middlebury,06762,New Haven,97.5,92.5,100.0,100.0,97.5,97.5,92.5,0.0,0.0,0.0
John Lyman School,Public,106 Way Road,Middlefield,06455,Middlesex,,,,,,,,,,
The Independent Day School,Non-public,115 Laurel Brook Rd,Middlefield,06455,Middlesex,,,,,,,,,,
Bielefield Elementary,Public,70 Maynard St,Middletown,06457,Middlesex,97.1,100.0,100.0,100.0,100.0,97.1,94.3,0.0,0.0,0.0
FarmHill Elementary,Public,390 Ridge Road,Middletown,06457,Middlesex,96.7,98.3,98.3,98.3,98.3,95.0,93.3,1.7,0.0,1.7
Lawrence Elementary,Public,Kaplan Drive,Middletown,06457,Middlesex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Macdonough Elementary,Public,66 Spring St,Middletown,06457,Middlesex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Snow Elementary School,Public,299 Wadsworth Street,Middletown,06457,Middlesex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Spencer Elementary,Public,"206 Westfield St Middletown,",Middletown,06457,Middlesex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
St. John Paul II,Non-public,87 South Main Street,Middletown,06457,Middlesex,,,,,,,,,,
Van Buren Moody Elementary,Public,300 Country Club Road,Middletown,06457,Middlesex,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Wesley Elementary School,Public,10 Wesleyan Hills Road,Middletown,06457,Middlesex,100.0,97.9,97.9,97.9,100.0,97.9,93.8,0.0,0.0,0.0
Calf Pen Meadow School,Public,395 Welchs Point Road,Milford,06460,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Charles F. Hayden School,Non-public,528 Wheelers Farms Rd,Milford,06460,Fairfield,,,,,,,,,,
John F. Kennedy Elementary School,Public,404 West Street,Milford,06461,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Live Oaks,Public,575 Merwin Avenue,Milford,06460,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Mathewson,Public,466 W River Street,Milford,06461,New Haven,100.0,100.0,100.0,100.0,100.0,98.3,98.3,0.0,0.0,0.0
Meadowside Elementary School,Public,80 Seemans Lane,Milford,06460,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Orange Avenue Elementary School,Public,260 Orange Avenue,Milford,06461,New Haven,98.6,98.6,100.0,100.0,100.0,98.6,98.6,0.0,0.0,0.0
Orchard Hills School,Public,185 Marino Dr,Milford,06460,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Pumpkin Delight,Public,24 Art Street,Milford,06460,New Haven,,,,,,,,,,
St. Marys School,Non-public,72 Gulf Street,Milford,06460,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Fawn Hollow Elementary School,Public,345 Fan Hill Road,Monroe,06468,Fairfield,97.5,97.5,97.5,95.8,97.5,97.5,95.8,0.0,1.7,1.7
Monroe Elemenatary School,Public,375 Monroe Tpke,Monroe,06468,Fairfield,96.2,96.2,96.2,96.2,96.2,96.2,96.2,3.8,0.0,3.8
Stepney Elementary School,Public,180 Old Newtown Rd,Monroe,06468,Fairfield,100.0,99.0,100.0,100.0,99.0,97.9,97.9,0.0,0.0,0.0
East Haddam Elementary School,Public,45 Joe williams rd,Moodus,06469,Middlesex,98.8,100.0,100.0,98.8,100.0,98.8,96.3,0.0,0.0,0.0
Moosup Elementary School,Public,35 Church Street,Moosup,06354,Windham,87.3,85.7,84.1,95.2,87.3,93.7,82.5,1.6,0.0,1.6
James Morris School,Public,10 East Street,Morris,06763,Litchfield,,,,,,,,,,
Mystic River Magnet School,Public,160 Fishtown Road,Mystic,06335,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Northeast Academy Arts Magnet school,Public,115 Oslo St.,Mystic,06355,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Andrew Avenue Elementary School,Public,140 Andrew Avenue,Naugatuck,06770,New Haven,100.0,100.0,100.0,97.6,100.0,100.0,97.6,0.0,0.0,0.0
Hop Brook Elementary School,Public,75 Crown Street,Naugatuck,06770,New Haven,98.3,96.7,96.7,98.3,95.0,96.7,93.3,0.0,0.0,0.0
Maple Hill Elementary School,Public,641 Maple Hill Road,Naugatuck,06770,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Salem Elementary School,Public,124 Meadow Street,Naugatuck,06770,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Western Elementary School,Public,100 Pine St,Naugatuck,06770,New Haven,97.6,100.0,100.0,100.0,100.0,97.6,97.6,0.0,0.0,0.0
Chamberlain Elementary School,Public,120 Newington Ave.,New Britain,06051,Hartford,97.4,98.7,100.0,100.0,100.0,96.1,92.1,0.0,0.0,0.0
Diloreto Elementary And Middle School,Public,732 Slater Road,New Britain,06053,Hartford,100.0,100.0,98.8,100.0,98.8,97.5,96.3,0.0,0.0,0.0
Gaffney,Public,322 Slater Rd,New Britain,06053,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Holmes Elementary School,Public,2150 Stanley Street,New Britain,06053,Hartford,98.6,98.6,98.6,98.6,97.2,95.8,95.8,0.0,0.0,0.0
Jefferson Elementary School,Public,140 Horseplain Rd,New Britain,06053,Hartford,97.1,97.1,98.5,100.0,97.1,95.6,94.1,0.0,0.0,0.0
Lincoln Elementary School,Public,145 Steele Street,New Britain,06052,Hartford,98.2,98.2,98.2,100.0,98.2,100.0,98.2,0.0,0.0,0.0
Northend Elem School,Public,160 Bassett St,New Britain,06051,Hartford,100.0,100.0,100.0,100.0,100.0,97.1,97.1,0.0,0.0,0.0
Smalley Elementary School,Public,175 West Street,New Britain,06051,Hartford,96.4,97.3,100.0,98.2,99.1,98.2,96.4,0.0,0.0,0.0
Smith Elementary School,Public,142 Rutherford Street,New Britain,06051,Hartford,100.0,98.8,100.0,100.0,98.8,95.2,92.9,0.0,0.0,0.0
Vance,Public,183 Vance Street,New Britain,06052,Hartford,96.3,100.0,100.0,98.8,100.0,97.6,95.1,0.0,0.0,0.0
East School,Public,54 Little Brook Road,New Canaan,06840,Fairfield,100.0,100.0,100.0,99.1,100.0,100.0,99.1,0.0,0.0,0.0
South School,Public,8 Farm Road,New Canaan,06840,Fairfield,96.5,97.7,97.7,97.7,96.5,97.7,95.3,0.0,1.2,1.2
West School,Public,769 Ponus Ridge rd,New Canaan,06840,Fairfield,98.9,98.9,98.9,98.9,98.9,98.9,98.9,0.0,1.1,1.1
New Canaan Country School,Non-public,635 Frogtown Rd,New Canaan,06840,Fairfield,96.0,96.0,96.0,96.0,96.0,96.0,96.0,0.0,4.0,4.0
Consolidated School,Public,24A Gillotti Rd,New Fairfield,06812,Fairfield,98.6,98.6,98.6,98.6,97.3,96.6,96.6,0.0,1.4,1.4
Bakerville School,Public,51 Cedar Lane,New Hartford,06057,Litchfield,97.0,97.0,90.9,93.9,90.9,93.9,90.9,0.0,3.0,3.0
New Hartford Elementary School,Public,40 Wickett St,New Hartford,06057,Litchfield,,,,,,,,,,
All Nations Christian Academy,Non-public,358 Lenox Street,New Haven,06513,New Haven,,,,,,,,,,
Amistad Academy,Public,130 Edgewood Ave,New Haven,06511,New Haven,85.9,84.8,85.9,94.6,85.9,92.4,83.7,0.0,0.0,0.0
Augusta Lewis Troup School,Public,259 Edgewood Ave,New Haven,06511,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Barack H Obama Magnet University,Public,69 Farnham Ave,New Haven,06515,New Haven,96.8,96.8,98.4,98.4,96.8,90.3,90.3,0.0,0.0,0.0
Barnard Environmental Science and Technology School,Public,170 Derby Avenue,New Haven,06511,New Haven,97.9,97.9,97.9,97.9,97.9,97.9,97.9,2.1,0.0,2.1
Benjamin Jepson Magnet School,Public,15 Lexington Ave,New Haven,06513,New Haven,97.2,97.2,97.2,100.0,97.2,97.2,94.4,0.0,0.0,0.0
Bishop Woods School,Public,1481 Quinnipiac Ave,New Haven,06513,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Booker T. Washington Academy,Public,804 State Street,New Haven,06511,New Haven,97.4,97.4,100.0,97.4,100.0,97.4,97.4,0.0,0.0,0.0
Brennan-Rogers Magnet School,Public,200 Wilmot Road,New Haven,06515,New Haven,,,,,,,,,,
"Celentano Biotech, Health&Medical Magnet",Public,400 Canner st,New Haven,06511,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Clinton Avenue School,Public,293 Clinton Avenue,New Haven,06513,New Haven,96.4,96.4,98.2,100.0,98.2,92.7,92.7,0.0,0.0,0.0
Cold Spring School,Non-public,263 Chapel Street,New Haven,06513,New Haven,,,,,,,,,,
Conte West Hills,Public,511 Chapel St,New Haven,06511,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Davis,Public,35 Davis Street,New Haven,06515,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
East Rock Community Magnet School,Public,133 Nash St,New Haven,06513,New Haven,98.0,98.0,98.0,98.0,98.0,93.9,93.9,0.0,0.0,0.0
Edgewood,Public,737 Edgewood Ave,New Haven,06515,New Haven,100.0,97.9,100.0,100.0,100.0,100.0,97.9,0.0,0.0,0.0
Elm City College Prep,Public,407 James St.,New Haven,06513,New Haven,98.4,98.4,98.4,98.4,98.4,100.0,96.8,0.0,0.0,0.0
Elm City Montessori,Public,495 Blake St,New Haven,06515,New Haven,,,,,,,,,,
F.A.M.E,Public,255 Blatchley AVE,New Haven,08613,New Haven,97.7,95.5,97.7,97.7,93.2,84.1,72.7,0.0,0.0,0.0
Fair Haven,Public,164 Grand Avenue,New Haven,06513,New Haven,94.8,93.5,98.7,94.8,93.5,84.4,80.5,0.0,0.0,0.0
Highville Charter School,Public,1 Science Park,New Haven,06511,New Haven,100.0,100.0,97.6,100.0,97.6,100.0,97.6,0.0,0.0,0.0
Hill Central School,Public,140 Dewitt Street,New Haven,06519,New Haven,100.0,100.0,100.0,100.0,95.6,95.6,95.6,0.0,0.0,0.0
John C Daniels,Public,569 Congress Ave,New Haven,06519,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
John S. Martinez,Public,100 James Street,New Haven,06513,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
King Robinson,Public,150 Fournier Street,New Haven,06770,New Haven,100.0,97.2,94.4,100.0,88.9,97.2,88.9,0.0,0.0,0.0
L. W. Beecher Museum Magnet School,Non-public,100 Jewel st,New Haven,06515,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Lincoln Bassett School,Public,130 Bassett Street,New Haven,06511,New Haven,,,,,,,,,,
Mauro Sheridan Magnet School,Public,191 Fountain St,New Haven,06514,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Nathan Hale School,Public,480 Townsend Ave,New Haven,06215,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Ross Woodward,Public,185 Barnes Ave,New Haven,06513,New Haven,98.1,98.1,98.1,98.1,96.2,96.2,96.2,0.0,0.0,0.0
St Thomas's Day School,Non-public,830 Whitney Avenue,New Haven,06511,New Haven,,,,,,,,,,
The Cheder New Haven,Non-public,342 Ellsworth Avenue,New Haven,06511,New Haven,,,,,,,,,,
The Foote School,Non-public,50 Loomis Place,New Haven,06511,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Truman,Public,114 truman st,New Haven,06519,Fairfield,100.0,100.0,100.0,97.4,100.0,100.0,97.4,0.0,0.0,0.0
Wexler Grant Community School,Public,55 Foote Street,New Haven,06511,New Haven,,,,,,,,,,
Worthington Hooker,Public,691 Whitney Ave,New Haven,06511,New Haven,95.5,95.5,100.0,90.9,97.7,97.7,88.6,0.0,0.0,0.0
All Saints,Non-public,423  Ferry Street,New Haven,06513,New Haven,,,,,,,,,,
CB Jennings Elementary School,Public,50 Mercer Street,New London,06320,New London,87.3,94.9,87.3,86.1,92.4,94.9,84.8,0.0,0.0,0.0
Nathan Hale Arts Magnet School,Public,37 Beech Dr.,New London,06320,New London,100.0,97.1,100.0,98.5,100.0,98.5,97.1,0.0,0.0,0.0
Ocean Avenue Learning Academy,Public,660 Ocean Avenue,New London,06320,New London,,,,,,,,,,
Regional Multicultural Magnet School,Public,1 Bulkely Place,New London,06320,New London,100.0,100.0,100.0,100.0,100.0,98.8,98.8,0.0,0.0,0.0
St Joseph,Non-public,25 Squire St,New London,06320,New London,,,,,,,,,,
Winthrop Elementary School,Public,74 Grove Street,New London,06320,New London,95.7,98.6,98.6,98.6,98.6,98.6,95.7,0.0,1.4,1.4
Hill and Plain,Public,60 Old Town Park Rd,New Milford,06776,Litchfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Northville Elementary  School,Public,22 Hipp Road,New Milford,06776,Fairfield,99.2,99.2,99.2,99.2,99.2,99.2,99.2,0.0,0.0,0.0
Washington Montessori School,Non-public,240 Litchfield Turnpike,New Preston,06777,Litchfield,,,,,,,,,,
Anna Reynolds Elementary School,Public,85 Reservoir Road,Newington,06111,Hartford,98.4,98.4,100.0,98.4,98.4,98.4,98.4,0.0,0.0,0.0
Elizabeth Green Elementary,Public,30 Thomas Street,Newington,06111,Hartford,100.0,100.0,97.9,100.0,97.9,100.0,97.9,0.0,0.0,0.0
Emmanuel Christian Academy,Non-public,569 Maple Hill Ave.,Newington,06111,Hartford,78.0,78.0,78.0,82.0,74.0,82.0,72.0,0.0,0.0,0.0
John Paterson,Public,120 Church Street,Newington,06111,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Ruth Chaffee Elementary School,Public,160 Superior Avenue,Newington,06111,Hartford,98.2,98.2,98.2,98.2,98.2,98.2,98.2,0.0,1.8,1.8
Fraser Woods Montessori School,Non-public,173 South Main Street,Newtown,06470,Fairfield,,,,,,,,,,
Hawley,Public,29 Church Hill Rd,Newtown,06470,Fairfield,98.4,98.4,98.4,98.4,98.4,98.4,98.4,0.0,1.6,1.6
Head O'Meadow,Public,94 Boggs Hill Rd,Newtown,06470,Fairfield,100.0,100.0,98.4,98.4,98.4,100.0,98.4,0.0,0.0,0.0
Housatonic Valley Waldorf School,Non-public,40 Dodgingtown Rd.,Newtown,06470,Fairfield,,,,,,,,,,
Middle Gate Elementary School,Public,7 Cold Spring Rd,Newtown,06470,Fairfield,98.9,98.9,98.9,100.0,100.0,100.0,98.9,0.0,0.0,0.0
Saint Rose of Lima School,Non-public,40 Church Hill Road,Newtown,06470,Fairfield,,,,,,,,,,
Lillie B Haynes Elementary,Public,29 Society Road,Niantic,06357,New London,100.0,100.0,100.0,98.6,100.0,98.6,98.6,0.0,0.0,0.0
Niantic Center School,Public,7 W. Main St.,Niantic,06357,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Botelle School,Public,128 Greenwoods East,Norfolk,06058,Litchfield,,,,,,,,,,
Jerome Harrison Elementary,Public,335 Foxon Road,North Branford,06471,New Haven,100.0,98.3,98.3,97.4,98.3,100.0,94.9,0.0,0.0,0.0
Franklin Elementary School,Public,206 Pond Rd,North Franklin,06254,New London,,,,,,,,,,
Mary R Fisher Elementary School,Public,785 Riverside Drive,North Grosvenordale,06255,Windham,94.5,94.5,94.5,98.6,94.5,97.3,94.5,0.0,0.0,0.0
Aces Mill Road,Non-public,295 Mill Road,North Haven,06473,New Haven,,,,,,,,,,
Aces Village School,Public,31 Temple Street,North Haven,06473,New Haven,,,,,,,,,,
Clintonville Elementary School,Public,456 Clintonville Road,North Haven,06473,New Haven,97.7,97.7,97.7,97.7,97.7,95.5,95.5,0.0,2.3,2.3
Green Acres Elementary School,Public,146 Upper State Street,North Haven,06473,New Haven,98.4,98.4,98.4,98.4,98.4,98.4,98.4,0.0,0.0,0.0
Montowese Elementary,Public,145 Fitch Street,North Haven,06473,New Haven,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Ridge Road Elementary,Public,1341 Ridge Road,North Haven,06473,New Haven,98.6,98.6,97.2,98.6,97.2,98.6,97.2,0.0,1.4,1.4
North Stonington Christian Academy,Non-public,12 Stillman Road,North Stonington,06359,New London,,,,,,,,,,
North Stonington Elementary School,Public,311 Norwich Westerly Road,North Stonington,06359,New London,100.0,98.1,100.0,100.0,100.0,98.1,98.1,0.0,0.0,0.0
Charles H. Barrows STEM Academy,Public,141 Tuckie Road,North Windham,06256,Windham,98.4,98.4,98.4,100.0,98.4,98.4,98.4,0.0,0.0,0.0
North Windham Elementary School,Public,112 Jordan Lane,North Windham,06256,Windham,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Litchfield Montessori School,Non-public,5 Knife Shop Road,Northfield,06778,Litchfield,,,,,,,,,,
All Saints Catholic School,Non-public,139 West Rocks Road,Norwalk,06851,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
brookside elementary school,Public,382 highland avenue,Norwalk,06854,Fairfield,100.0,100.0,100.0,100.0,100.0,98.6,98.6,0.0,0.0,0.0
Concord Magnet School,Public,21 Hunter Lane,Norwalk,06850,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Cranbury Elementary,Public,10 Knowalot Lane,Norwalk,06851,Fairfield,98.5,98.5,97.0,98.5,97.0,98.5,97.0,0.0,1.5,1.5
Fox Run Elementary School,Public,228 Fillow Street,Norwalk,06850,Fairfield,95.8,95.8,95.8,95.8,93.8,93.8,93.8,0.0,2.1,2.1
Jefferson Marine Science Elementary,Public,75 van Buren Ave,Norwalk,06850,Fairfield,100.0,100.0,100.0,100.0,98.9,100.0,98.9,0.0,0.0,0.0
Marvin Elementary School,Public,15 Calf Pasture Beach Road,Norwalk,06855,Fairfield,100.0,100.0,100.0,100.0,98.3,100.0,98.3,0.0,0.0,0.0
Naramake Elementary School,Public,16 King Street,Norwalk,06851,Fairfield,96.4,96.4,96.4,96.4,96.4,96.4,96.4,0.0,1.8,1.8
Regina Pacis Academy,Non-public,8 Leonard Street,Norwalk,06850,Fairfield,,,,,,,,,,
Rowayton Elementary School,Public,1 Roton Ave,Norwalk,06853,Fairfield,98.6,98.6,98.6,98.6,98.6,98.6,98.6,0.0,1.4,1.4
Side by Side Charter School,Public,10 Chestnut Street,Norwalk,06854,Fairfield,,,,,,,,,,
Silvermine Dual Language School,Public,157 Perry Ave,Norwalk,06850,Fairfield,100.0,100.0,100.0,100.0,100.0,98.5,98.5,0.0,0.0,0.0
Tracey Magnet School,Public,20 Camp Street,Norwalk,06851,Fairfield,98.8,97.6,100.0,100.0,97.6,98.8,97.6,0.0,0.0,0.0
Wolfpit Integrated Arts School,Public,1 Starlight Drive,Norwalk,06851,Fairfield,94.6,94.6,94.6,94.6,94.6,94.6,94.6,1.8,3.6,5.4
Integrated Day Charter School,Public,668 Thermos Ave,Norwich,06360,New London,100.0,100.0,84.8,100.0,84.8,100.0,84.8,0.0,0.0,0.0
John B Stanton Elementary,Public,386 New London Turnpike,Norwich,06360,New London,94.1,95.6,95.6,97.1,97.1,97.1,92.6,0.0,0.0,0.0
Montessori Discovery School,Non-public,218 Dudley Street,Norwich,06360,New London,,,,,,,,,,
Moriarty Magnet School,Public,20 Lawler Lane,Norwich,06360,New London,96.9,95.3,90.6,98.4,93.8,98.4,87.5,0.0,0.0,0.0
SAMUEL HUNTINGTON,Public,80 WEST TOWN STREET,Norwich,06360,New London,97.3,97.3,100.0,97.3,100.0,94.6,94.6,0.0,0.0,0.0
St. Patrick Cathedral School,Non-public,211 Broadway,Norwich,06360,New London,,,,,,,,,,
Thomas W Mahan Elementary School,Public,94 Salem Turnpike,Norwich,06360,New London,,,,,,,,,,
Uncas Elementary,Public,280 Elizabeth Street,Norwich,06360,New London,100.0,100.0,97.1,100.0,94.1,94.1,91.2,0.0,0.0,0.0
Veterans Memorial Elementary,Public,80 Crouch Avenue,Norwich,06360,New London,88.6,88.6,88.6,94.3,88.6,91.4,88.6,0.0,0.0,0.0
Wildwood Christian Academy,Non-public,35 Wawecus Hill Road,Norwich,06360,New London,,,,,,,,,,
Dr. Charles E. Murphy Elementary,Public,500 Chesterfield Road,Oakdale,06370,New London,100.0,100.0,100.0,97.9,100.0,100.0,97.9,0.0,0.0,0.0
Oakdale Elementary School,Public,30 Indiana Circle,Oakdale,06370,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
John Trumbull Primary,Public,779 Buckingham Street,Oakville,06779,Litchfield,99.4,98.9,98.3,100.0,97.7,99.4,97.7,0.0,0.0,0.0
St. Mary Magdalen,Non-public,140 Buckingham Street,Oakville,06779,Litchfield,,,,,,,,,,
Old Greenwich School,Public,285 Sound Beach Ave,Old Greenwich,06870,Fairfield,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Mile Creek School,Public,205 Mile Creek Road,Old Lyme,06371,New London,98.1,98.1,98.1,98.1,98.1,98.1,98.1,0.0,0.0,0.0
Children's Tree Montessori School,Non-public,96 Essex Road,Old Saybrook,06475,Middlesex,,,,,,,,,,
K.E GOODWIN,Public,80 Old Boston Post Rd,Old Saybrook,06475,New London,98.3,98.3,98.3,98.3,98.3,96.7,96.7,0.0,1.7,1.7
Saint John School,Non-public,42 Maynard Road,Old Saybrook,06475,Middlesex,,,,,,,,,,
Mary L. Tracy,Public,650 Schoolhouse Lane,Orange,06614,New Haven,95.2,95.8,94.6,97.6,96.4,98.2,92.8,0.0,1.2,1.2
Southern Connecticut Hebrew Academy,Non-public,261 Derby Avenue,Orange,06477,New Haven,,,,,,,,,,
Quaker Farms School,Public,30 Great Oak Rd,Oxford,06478,New Haven,100.0,99.2,100.0,100.0,99.2,100.0,99.2,0.0,0.0,0.0
Saint Michael's School,Non-public,131 West Broad Street,Pawcatuck,06379,New London,,,,,,,,,,
West Vine Street School,Public,17 West Vine Street,Pawcatuck,06379,New London,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Shepard Hill Elementary,Public,234 Shepard Hill Rd,Plainfield,06374,Windham,96.4,96.4,96.4,100.0,96.4,100.0,96.4,0.0,0.0,0.0
Frank T. Wheeler School,Public,15 Cleveland Memorial Drive,Plainville,06062,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Linden St. Scholl,Public,69 Linden St.,Plainville,06062,Hartford,98.3,96.7,98.3,98.3,96.7,98.3,95.0,0.0,1.7,1.7
Northwest Village School,Non-public,91 Northwest Dr,Plainville,06062,Hartford,,,,,,,,,,
Toffolon,Public,145 Northwest Dr,Plainville,06062,Hartford,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0
Oshana Elementary School,Public,70 Church Street,Plantsville,06479,Hartford,97.1,97.1,97.1,94.1,97.1,97.1,94.1,0.0,2.9,2.9
South End Elementary School,Public,10 Maxwell Noble Drive,Plantsville,06479,Hartford,100.0,100.0,100.0,100.0,100.0,97.6,97.6,0.0,0.0,0.0
