County,Cases
Yoakum,17
Terry,43
Midland,1
Martin,3
Lynn,2
Lubbock,33
Lamb,1
Lamar,11
Hockley,3
Hale,3
Garza,2
Gaines,315
Erath,1
Ector,8
Dawson,20
Dallam,7
Cochran,9
Brown,1
Andrews,1
